geo,date,tv_impression,radio_impression,print_impression,search_impression,social_impression,competitor_sales_control,sentiment_score_control,tv_spend,radio_spend,print_spend,search_spend,social_spend,population,sales
Geo0,1/25/21,280668,0,0,470611,108010,-1.3387649,0.11558147,2058.0608,0,0,3667.3965,841.6044,136670.94,39198.5569
Geo0,2/1/21,366206,182108,19825,527702,252506,0.8936449,0.9442244,2685.2874,1755.7454,147.31808,4112.2974,1967.5044,136670.94,41497.96063
Geo0,2/8/21,197565,230170,0,393618,184061,-0.28454947,-1.290579,1448.6895,2219.1223,0,3067.4023,1434.187,136670.94,41579.08885
Geo0,2/15/21,140990,66643,0,326034,201729,-1.0347397,-1.0845139,1033.8406,642.52057,0,2540.731,1571.8545,136670.94,56492.86151
Geo0,2/22/21,399116,164991,0,381982,153973,-0.3192759,-0.017502785,2926.6072,1590.7164,0,2976.7249,1199.744,136670.94,71039.82718
Geo0,3/1/21,219462,149254,0,417941,41573,-0.65269506,-0.30211386,1609.2542,1438.9924,0,3256.9475,323.93317,136670.94,45143.12991
Geo0,3/8/21,39715,52062,273250,662155,381411,1.4276155,-0.23733935,291.2191,501.94177,2030.5001,5160.0684,2971.9207,136670.94,51157.88135
Geo0,3/15/21,114458,230897,122797,423700,229769,0.45791247,0.8655758,839.2888,2226.1316,912.49524,3301.8264,1790.3397,136670.94,44457.79903
Geo0,3/22/21,235989,256233,0,413992,359812,0.89351004,-0.80686784,1730.442,2470.4019,0,3226.1736,2803.6233,136670.94,46546.58072
Geo0,3/29/21,428627,0,280553,501091,341979,0.520105,-0.24917367,3143.003,0,2084.768,3904.9224,2664.6702,136670.94,46957.37538
Geo0,4/5/21,221340,143848,0,397356,33530,-0.8563197,0.050081678,1623.025,1386.8718,0,3096.532,261.2628,136670.94,44472.07351
Geo0,4/12/21,391678,50750,0,722273,171367,-1.4528581,1.5585525,2872.0662,489.2925,0,5628.5586,1335.2765,136670.94,70028.72333
Geo0,4/19/21,244001,0,0,329811,207582,-1.9642203,-0.59979314,1789.1918,0,0,2570.1646,1617.4606,136670.94,66711.03383
Geo0,4/26/21,205575,38204,0,397778,0,-0.6964144,-1.240535,1507.4246,368.33362,0,3099.8206,0,136670.94,55515.47169
Geo0,5/3/21,90953,0,0,78105,447455,-1.5696856,-2.3092334,666.93317,0,0,608.6598,3486.5298,136670.94,47044.18477
Geo0,5/10/21,155015,289612,0,475510,254598,1.1948755,-1.364184,1136.6821,2792.2163,0,3705.5735,1983.8052,136670.94,48723.89209
Geo0,5/17/21,139836,184700,0,277029,74744,-0.12523502,-0.71586806,1025.3787,1780.7355,0,2158.8428,582.3986,136670.94,87246.49057
Geo0,5/24/21,388037,147001,0,92359,121726,-0.4660951,-0.9799271,2845.368,1417.2706,0,719.73895,948.4783,136670.94,61280.05082
Geo0,5/31/21,0,491676,160928,801735,331396,0.1384334,1.8121941,0,4740.362,1195.8438,6247.793,2582.2083,136670.94,43526.45195
Geo0,6/7/21,221746,58085,0,628365,134211,0.36252737,0.016913712,1626.002,560.0109,0,4896.748,1045.7603,136670.94,39530.20441
Geo0,6/14/21,522698,53047,10339,800459,393926,1.5063099,1.1276338,3832.7998,511.43842,76.82833,6237.8496,3069.4365,136670.94,20875.65842
Geo0,6/21/21,31481,111302,0,0,20292,-1.636292,-0.27724043,230.84145,1073.0884,0,0,158.11346,136670.94,77619.81426
Geo0,6/28/21,124951,98741,0,426485,344246,1.9607203,-1.8176672,916.2311,951.9848,0,3323.5295,2682.3345,136670.94,22635.81745
Geo0,7/5/21,0,28473,0,416725,356255,0.76883364,-1.5893306,0,274.51477,0,3247.4714,2775.9075,136670.94,32735.42993
Geo0,7/12/21,202855,208509,0,343028,111658,-0.20756881,0.14665473,1487.4795,2010.2834,0,2673.1626,870.02924,136670.94,32602.00349
Geo0,7/19/21,0,0,0,194185,0,-2.278555,-0.76092386,0,0,0,1513.2528,0,136670.94,41344.10985
Geo0,7/26/21,0,188866,188847,551956,457125,1.6827729,-0.33497372,0,1820.9009,1403.3077,4301.305,3561.8774,136670.94,39372.34822
Geo0,8/2/21,82595,246895,111412,144402,239598,-0.6259522,-0.23797643,605.64624,2380.3718,827.8941,1125.3018,1866.9264,136670.94,43610.62055
Geo0,8/9/21,65819,0,171922,501537,269422,-0.04261376,0.8738909,482.6325,0,1277.5394,3908.3977,2099.3125,136670.94,63982.94917
Geo0,8/16/21,315181,245276,0,623642,159260,-0.60718906,0.8728794,2311.135,2364.7627,0,4859.9424,1240.9398,136670.94,46830.45224
Geo0,8/23/21,312903,0,0,455914,350871,0.98262155,-0.31538105,2294.431,0,0,3552.865,2733.9558,136670.94,61106.20125
Geo0,8/30/21,482966,368806,153256,838658,355976,0.8541256,2.1781638,3541.456,3555.744,1138.8337,6535.528,2773.7334,136670.94,34495.78478
